"un_country"	"year"	"source"	"n"
"603"	"brunei"	2015	"TED"	2
"604"	"brunei"	2016	"BEHANCE"	1
"605"	"brunei"	2016	"TED"	1
"606"	"brunei"	2017	"BEHANCE"	5
"607"	"bulgaria"	2007	"BEHANCE"	17
"608"	"bulgaria"	2008	"BEHANCE"	127
"609"	"bulgaria"	2009	"BEHANCE"	231
"610"	"bulgaria"	2009	"MEETUP"	1
"611"	"bulgaria"	2010	"BEHANCE"	322
"612"	"bulgaria"	2010	"TED"	2
"613"	"bulgaria"	2011	"BEHANCE"	369
"614"	"bulgaria"	2011	"EFLUX"	1
"615"	"bulgaria"	2011	"TED"	3
"616"	"bulgaria"	2012	"ART_EDUCATION"	1
"617"	"bulgaria"	2012	"BEHANCE"	489
"618"	"bulgaria"	2012	"MEETUP"	5
"619"	"bulgaria"	2012	"TED"	8
"620"	"bulgaria"	2012	"TIMEPAD"	2
"621"	"bulgaria"	2013	"BEHANCE"	704
"622"	"bulgaria"	2013	"EFLUX"	1
"623"	"bulgaria"	2013	"MEETUP"	11
"624"	"bulgaria"	2013	"TED"	5
"625"	"bulgaria"	2013	"TIMEPAD"	1
"626"	"bulgaria"	2014	"BEHANCE"	960
"627"	"bulgaria"	2014	"MEETUP"	24
"628"	"bulgaria"	2014	"TED"	3
"629"	"bulgaria"	2014	"TIMEPAD"	2
"630"	"bulgaria"	2015	"BEHANCE"	806
"631"	"bulgaria"	2015	"MEETUP"	97
"632"	"bulgaria"	2015	"TED"	6
"633"	"bulgaria"	2015	"TIMEPAD"	1
"634"	"bulgaria"	2016	"BEHANCE"	851
"635"	"bulgaria"	2016	"MEETUP"	314
"636"	"bulgaria"	2016	"TED"	5
"637"	"bulgaria"	2016	"TIMEPAD"	7
"638"	"bulgaria"	2017	"BEHANCE"	738
"639"	"bulgaria"	2017	"MEETUP"	358
"640"	"bulgaria"	2017	"TED"	11
"641"	"bulgaria"	2017	"TIMEPAD"	4
"642"	"bulgaria"	2018	"BEHANCE"	425
"643"	"bulgaria"	2018	"EFLUX"	2
"644"	"bulgaria"	2018	"MEETUP"	580
"645"	"bulgaria"	2018	"TED"	13
"646"	"bulgaria"	2018	"TIMEPAD"	18
"647"	"bulgaria"	2019	"BEHANCE"	98
"648"	"bulgaria"	2019	"MEETUP"	86
"649"	"bulgaria"	2019	"TED"	8
"650"	"bulgaria"	2019	"TIMEPAD"	7
"651"	"burkina faso"	2016	"MEETUP"	1
"652"	"burkina faso"	2017	"TED"	1
"653"	"burkina faso"	2018	"TED"	3
"654"	"burundi"	2012	"TED"	1
"655"	"burundi"	2013	"TED"	1
"656"	"cambodia"	2009	"BEHANCE"	27
"657"	"cambodia"	2010	"BEHANCE"	17
"658"	"cambodia"	2010	"MEETUP"	1
"659"	"cambodia"	2011	"BEHANCE"	16
"660"	"cambodia"	2011	"TED"	2
"661"	"cambodia"	2012	"BEHANCE"	18
"662"	"cambodia"	2012	"TED"	1
"663"	"cambodia"	2013	"ART_EDUCATION"	2
"664"	"cambodia"	2013	"BEHANCE"	9
"665"	"cambodia"	2014	"BEHANCE"	22
"666"	"cambodia"	2014	"MEETUP"	4
"667"	"cambodia"	2014	"TED"	1
"668"	"cambodia"	2015	"BEHANCE"	30
"669"	"cambodia"	2015	"TED"	1
"670"	"cambodia"	2016	"BEHANCE"	9
"671"	"cambodia"	2016	"MEETUP"	2
"672"	"cambodia"	2016	"TED"	2
"673"	"cambodia"	2017	"BEHANCE"	9
"674"	"cambodia"	2017	"MEETUP"	13
"675"	"cambodia"	2017	"TED"	1
"676"	"cambodia"	2018	"ART_EDUCATION"	2
"677"	"cambodia"	2018	"BEHANCE"	7
"678"	"cambodia"	2018	"MEETUP"	7
"679"	"cambodia"	2018	"TED"	4
"680"	"cambodia"	2019	"MEETUP"	1
"681"	"cambodia"	2019	"TED"	1
"682"	"cameroon"	2011	"BEHANCE"	4
"683"	"cameroon"	2012	"BEHANCE"	3
"684"	"cameroon"	2013	"BEHANCE"	4
"685"	"cameroon"	2013	"TED"	1
"686"	"cameroon"	2014	"BEHANCE"	18
"687"	"cameroon"	2015	"TED"	1
"688"	"cameroon"	2016	"BEHANCE"	1
"689"	"cameroon"	2017	"BEHANCE"	1
"690"	"cameroon"	2018	"BEHANCE"	13
"691"	"cameroon"	2018	"TED"	2
"692"	"cameroon"	2019	"BEHANCE"	3
"693"	"canada"	2004	"MEETUP"	64
"694"	"canada"	2005	"MEETUP"	317
"695"	"canada"	2006	"MEETUP"	688
"696"	"canada"	2007	"BEHANCE"	37
"697"	"canada"	2007	"MEETUP"	1087
"698"	"canada"	2008	"BEHANCE"	248
"699"	"canada"	2008	"MEETUP"	1635
"700"	"canada"	2009	"BEHANCE"	751
"701"	"canada"	2009	"MEETUP"	2901
"702"	"canada"	2009	"TED"	10
"703"	"canada"	2010	"ART_EDUCATION"	21
"704"	"canada"	2010	"BEHANCE"	1409
"705"	"canada"	2010	"EFLUX"	28
"706"	"canada"	2010	"MEETUP"	4234
"707"	"canada"	2010	"TED"	46
"708"	"canada"	2011	"ART_EDUCATION"	28
"709"	"canada"	2011	"BEHANCE"	2024
"710"	"canada"	2011	"EFLUX"	23
"711"	"canada"	2011	"MEETUP"	4098
"712"	"canada"	2011	"TED"	79
"713"	"canada"	2012	"ART_EDUCATION"	28
"714"	"canada"	2012	"BEHANCE"	3392
"715"	"canada"	2012	"EFLUX"	36
"716"	"canada"	2012	"MEETUP"	7686
"717"	"canada"	2012	"TED"	118
"718"	"canada"	2013	"ART_EDUCATION"	17
"719"	"canada"	2013	"BEHANCE"	5231
"720"	"canada"	2013	"EFLUX"	36
"721"	"canada"	2013	"MEETUP"	5652
"722"	"canada"	2013	"TED"	141
"723"	"canada"	2014	"ART_EDUCATION"	17
"724"	"canada"	2014	"BEHANCE"	5700
"725"	"canada"	2014	"EFLUX"	40
"726"	"canada"	2014	"MEETUP"	7366
"727"	"canada"	2014	"TED"	95
"728"	"canada"	2015	"ART_EDUCATION"	10
"729"	"canada"	2015	"BEHANCE"	4224
"730"	"canada"	2015	"EFLUX"	38
"731"	"canada"	2015	"MEETUP"	10745
"732"	"canada"	2015	"TED"	109
"733"	"canada"	2016	"ART_EDUCATION"	13
"734"	"canada"	2016	"BEHANCE"	4210
"735"	"canada"	2016	"EFLUX"	37
"736"	"canada"	2016	"MEETUP"	14713
"737"	"canada"	2016	"TED"	106
"738"	"canada"	2017	"ART_EDUCATION"	13
"739"	"canada"	2017	"BEHANCE"	4314
"740"	"canada"	2017	"EFLUX"	46
"741"	"canada"	2017	"MEETUP"	19665
"742"	"canada"	2017	"TED"	110
"743"	"canada"	2018	"ART_EDUCATION"	10
"744"	"canada"	2018	"BEHANCE"	4032
"745"	"canada"	2018	"EFLUX"	33
"746"	"canada"	2018	"MEETUP"	25493
"747"	"canada"	2018	"TED"	129
"748"	"canada"	2019	"BEHANCE"	621
"749"	"canada"	2019	"MEETUP"	4215
"750"	"canada"	2019	"TED"	52
"751"	"cape verde"	2014	"MEETUP"	2
"752"	"cape verde"	2017	"TED"	1
"753"	"cape verde"	2018	"EFLUX"	1
"754"	"cape verde"	2018	"TED"	1
"755"	"cape verde"	2019	"TED"	1
"756"	"chile"	2008	"BEHANCE"	16
"757"	"chile"	2009	"BEHANCE"	82
"758"	"chile"	2009	"TED"	5
"759"	"chile"	2010	"BEHANCE"	146
"760"	"chile"	2010	"EFLUX"	3
"761"	"chile"	2010	"MEETUP"	8
"762"	"chile"	2010	"TED"	7
"763"	"chile"	2011	"BEHANCE"	239
"764"	"chile"	2011	"MEETUP"	77
"765"	"chile"	2011	"TED"	6
"766"	"chile"	2012	"ART_EDUCATION"	1
"767"	"chile"	2012	"BEHANCE"	546
"768"	"chile"	2012	"EFLUX"	3
"769"	"chile"	2012	"MEETUP"	188
"770"	"chile"	2012	"TED"	6
"771"	"chile"	2013	"BEHANCE"	1108
"772"	"chile"	2013	"EFLUX"	2
"773"	"chile"	2013	"MEETUP"	123
"774"	"chile"	2013	"TED"	10
"775"	"chile"	2014	"BEHANCE"	1270
"776"	"chile"	2014	"EFLUX"	1
"777"	"chile"	2014	"MEETUP"	192
"778"	"chile"	2014	"TED"	10
"779"	"chile"	2015	"BEHANCE"	1124
"780"	"chile"	2015	"EFLUX"	3
"781"	"chile"	2015	"MEETUP"	355
"782"	"chile"	2015	"TED"	8
"783"	"chile"	2016	"ART_EDUCATION"	1
"784"	"chile"	2016	"BEHANCE"	1198
"785"	"chile"	2016	"EFLUX"	4
"786"	"chile"	2016	"MEETUP"	544
"787"	"chile"	2016	"TED"	9
"788"	"chile"	2017	"BEHANCE"	1163
"789"	"chile"	2017	"EFLUX"	3
"790"	"chile"	2017	"MEETUP"	793
"791"	"chile"	2017	"TED"	12
"792"	"chile"	2018	"ART_EDUCATION"	1
"793"	"chile"	2018	"BEHANCE"	1043
"794"	"chile"	2018	"EFLUX"	1
"795"	"chile"	2018	"MEETUP"	807
"796"	"chile"	2018	"TED"	13
"797"	"chile"	2019	"BEHANCE"	137
"798"	"chile"	2019	"MEETUP"	163
"799"	"chile"	2019	"TED"	6
"800"	"china"	2006	"MEETUP"	9
"801"	"china"	2007	"BEHANCE"	6
"802"	"china"	2008	"BEHANCE"	85
"803"	"china"	2008	"MEETUP"	1
"804"	"china"	2009	"BEHANCE"	364
"805"	"china"	2009	"MEETUP"	6
"806"	"china"	2009	"TED"	9
"807"	"china"	2010	"ART_EDUCATION"	2
"808"	"china"	2010	"BEHANCE"	511
"809"	"china"	2010	"EFLUX"	20
"810"	"china"	2010	"MEETUP"	51
"811"	"china"	2010	"TED"	30
"812"	"china"	2011	"ART_EDUCATION"	1
"813"	"china"	2011	"BEHANCE"	876
"814"	"china"	2011	"EFLUX"	17
"815"	"china"	2011	"MEETUP"	111
"816"	"china"	2011	"TED"	90
"817"	"china"	2012	"ART_EDUCATION"	2
"818"	"china"	2012	"BEHANCE"	1862
"819"	"china"	2012	"EFLUX"	31
"820"	"china"	2012	"MEETUP"	478
"821"	"china"	2012	"TED"	125
"822"	"china"	2013	"ART_EDUCATION"	6
"823"	"china"	2013	"BEHANCE"	3971
"824"	"china"	2013	"EFLUX"	29
"825"	"china"	2013	"MEETUP"	1504
"826"	"china"	2013	"TED"	168
"827"	"china"	2014	"ART_EDUCATION"	3
"828"	"china"	2014	"BEHANCE"	5472
"829"	"china"	2014	"EFLUX"	37
"830"	"china"	2014	"MEETUP"	3656
"831"	"china"	2014	"TED"	150
"832"	"china"	2014	"TIMEPAD"	3
"833"	"china"	2015	"ART_EDUCATION"	6
"834"	"china"	2015	"BEHANCE"	4817
"835"	"china"	2015	"EFLUX"	37
"836"	"china"	2015	"MEETUP"	4741
"837"	"china"	2015	"TED"	177
"838"	"china"	2015	"TIMEPAD"	3
"839"	"china"	2016	"ART_EDUCATION"	8
"840"	"china"	2016	"BEHANCE"	6166
"841"	"china"	2016	"EFLUX"	42
"842"	"china"	2016	"MEETUP"	5779
"843"	"china"	2016	"TED"	224
"844"	"china"	2016	"TIMEPAD"	4
"845"	"china"	2017	"ART_EDUCATION"	6
"846"	"china"	2017	"BEHANCE"	6324
"847"	"china"	2017	"EFLUX"	43
"848"	"china"	2017	"MEETUP"	7001
"849"	"china"	2017	"TED"	254
"850"	"china"	2017	"TIMEPAD"	3
"851"	"china"	2018	"ART_EDUCATION"	8
"852"	"china"	2018	"BEHANCE"	6117
"853"	"china"	2018	"EFLUX"	47
"854"	"china"	2018	"MEETUP"	8256
"855"	"china"	2018	"TED"	184
"856"	"china"	2018	"TIMEPAD"	11
"857"	"china"	2019	"BEHANCE"	959
"858"	"china"	2019	"MEETUP"	1411
"859"	"china"	2019	"TED"	63
"860"	"colombia"	2008	"BEHANCE"	9
"861"	"colombia"	2008	"MEETUP"	3
"862"	"colombia"	2009	"BEHANCE"	118
"863"	"colombia"	2009	"MEETUP"	15
"864"	"colombia"	2009	"TED"	1
"865"	"colombia"	2010	"BEHANCE"	262
"866"	"colombia"	2010	"EFLUX"	1
"867"	"colombia"	2010	"MEETUP"	5
"868"	"colombia"	2010	"TED"	4
"869"	"colombia"	2011	"BEHANCE"	460
"870"	"colombia"	2011	"EFLUX"	1
"871"	"colombia"	2011	"MEETUP"	22
"872"	"colombia"	2011	"TED"	9
"873"	"colombia"	2012	"BEHANCE"	1060
"874"	"colombia"	2012	"MEETUP"	64
"875"	"colombia"	2012	"TED"	16
"876"	"colombia"	2013	"BEHANCE"	2332
"877"	"colombia"	2013	"EFLUX"	2
"878"	"colombia"	2013	"MEETUP"	229
"879"	"colombia"	2013	"TED"	11
"880"	"colombia"	2014	"ART_EDUCATION"	1
"881"	"colombia"	2014	"BEHANCE"	2742
"882"	"colombia"	2014	"MEETUP"	367
"883"	"colombia"	2014	"TED"	11
"884"	"colombia"	2015	"BEHANCE"	2280
"885"	"colombia"	2015	"EFLUX"	2
"886"	"colombia"	2015	"MEETUP"	906
"887"	"colombia"	2015	"TED"	27
"888"	"colombia"	2016	"BEHANCE"	2332
"889"	"colombia"	2016	"MEETUP"	1407
"890"	"colombia"	2016	"TED"	30
"891"	"colombia"	2017	"BEHANCE"	2399
"892"	"colombia"	2017	"EFLUX"	4
"893"	"colombia"	2017	"MEETUP"	1514
"894"	"colombia"	2017	"TED"	32
"895"	"colombia"	2018	"BEHANCE"	2136
"896"	"colombia"	2018	"MEETUP"	1972
"897"	"colombia"	2018	"TED"	30
"898"	"colombia"	2019	"BEHANCE"	403
"899"	"colombia"	2019	"MEETUP"	447
"900"	"colombia"	2019	"TED"	9
"901"	"costa rica"	2007	"BEHANCE"	5
"902"	"costa rica"	2008	"BEHANCE"	1
"903"	"costa rica"	2009	"BEHANCE"	17
"904"	"costa rica"	2010	"BEHANCE"	84
"905"	"costa rica"	2010	"TED"	2
"906"	"costa rica"	2011	"BEHANCE"	74
"907"	"costa rica"	2011	"MEETUP"	16
"908"	"costa rica"	2011	"TED"	4
"909"	"costa rica"	2012	"BEHANCE"	215
"910"	"costa rica"	2012	"MEETUP"	15
"911"	"costa rica"	2012	"TED"	6
"912"	"costa rica"	2013	"BEHANCE"	336
"913"	"costa rica"	2013	"MEETUP"	37
"914"	"costa rica"	2013	"TED"	4
"915"	"costa rica"	2014	"BEHANCE"	445
"916"	"costa rica"	2014	"MEETUP"	31
"917"	"costa rica"	2014	"TED"	2
"918"	"costa rica"	2015	"BEHANCE"	347
"919"	"costa rica"	2015	"MEETUP"	76
"920"	"costa rica"	2015	"TED"	10
"921"	"costa rica"	2016	"BEHANCE"	320
"922"	"costa rica"	2016	"MEETUP"	173
"923"	"costa rica"	2016	"TED"	7
"924"	"costa rica"	2017	"BEHANCE"	184
"925"	"costa rica"	2017	"MEETUP"	252
"926"	"costa rica"	2017	"TED"	8
"927"	"costa rica"	2018	"BEHANCE"	154
"928"	"costa rica"	2018	"MEETUP"	309
"929"	"costa rica"	2018	"TED"	6
"930"	"costa rica"	2019	"BEHANCE"	17
"931"	"costa rica"	2019	"MEETUP"	41
"932"	"costa rica"	2019	"TED"	5
"933"	"côte d'ivoire"	2009	"MEETUP"	10
"934"	"côte d'ivoire"	2010	"MEETUP"	8
"935"	"côte d'ivoire"	2011	"MEETUP"	2
"936"	"côte d'ivoire"	2012	"MEETUP"	12
"937"	"côte d'ivoire"	2013	"MEETUP"	1
"938"	"côte d'ivoire"	2013	"TED"	1
"939"	"côte d'ivoire"	2014	"BEHANCE"	2
"940"	"côte d'ivoire"	2014	"TED"	1
"941"	"côte d'ivoire"	2015	"BEHANCE"	6
"942"	"côte d'ivoire"	2015	"MEETUP"	26
"943"	"côte d'ivoire"	2015	"TED"	1
"944"	"côte d'ivoire"	2016	"BEHANCE"	3
"945"	"côte d'ivoire"	2016	"MEETUP"	21
"946"	"côte d'ivoire"	2016	"TED"	4
"947"	"côte d'ivoire"	2017	"BEHANCE"	6
"948"	"côte d'ivoire"	2017	"MEETUP"	45
"949"	"côte d'ivoire"	2017	"TED"	4
"950"	"côte d'ivoire"	2018	"BEHANCE"	5
"951"	"côte d'ivoire"	2018	"MEETUP"	52
"952"	"côte d'ivoire"	2018	"TED"	5
"953"	"côte d'ivoire"	2019	"MEETUP"	14
"954"	"côte d'ivoire"	2019	"TED"	1
"955"	"croatia"	2008	"BEHANCE"	6
"956"	"croatia"	2008	"MEETUP"	3
"957"	"croatia"	2009	"BEHANCE"	65
"958"	"croatia"	2009	"MEETUP"	25
"959"	"croatia"	2010	"BEHANCE"	126
"960"	"croatia"	2010	"EFLUX"	2
"961"	"croatia"	2010	"MEETUP"	29
"962"	"croatia"	2010	"TED"	6
"963"	"croatia"	2011	"BEHANCE"	216
"964"	"croatia"	2011	"MEETUP"	12
"965"	"croatia"	2011	"TED"	6
"966"	"croatia"	2012	"BEHANCE"	266
"967"	"croatia"	2012	"EFLUX"	1
"968"	"croatia"	2012	"MEETUP"	27
"969"	"croatia"	2012	"TED"	6
"970"	"croatia"	2013	"ART_EDUCATION"	5
"971"	"croatia"	2013	"BEHANCE"	399
"972"	"croatia"	2013	"EFLUX"	1
"973"	"croatia"	2013	"MEETUP"	57
"974"	"croatia"	2013	"TED"	10
"975"	"croatia"	2014	"BEHANCE"	559
"976"	"croatia"	2014	"EFLUX"	4
"977"	"croatia"	2014	"MEETUP"	133
"978"	"croatia"	2014	"TED"	8
"979"	"croatia"	2015	"BEHANCE"	408
"980"	"croatia"	2015	"EFLUX"	2
"981"	"croatia"	2015	"MEETUP"	214
"982"	"croatia"	2015	"TED"	16
"983"	"croatia"	2016	"BEHANCE"	442
"984"	"croatia"	2016	"EFLUX"	1
"985"	"croatia"	2016	"MEETUP"	256
"986"	"croatia"	2016	"TED"	11
"987"	"croatia"	2017	"ART_EDUCATION"	1
"988"	"croatia"	2017	"BEHANCE"	363
"989"	"croatia"	2017	"EFLUX"	3
"990"	"croatia"	2017	"MEETUP"	384
"991"	"croatia"	2017	"TED"	20
"992"	"croatia"	2018	"BEHANCE"	316
"993"	"croatia"	2018	"EFLUX"	3
"994"	"croatia"	2018	"MEETUP"	447
"995"	"croatia"	2018	"TED"	11
"996"	"croatia"	2019	"BEHANCE"	53
"997"	"croatia"	2019	"MEETUP"	76
"998"	"croatia"	2019	"TED"	2
"999"	"cuba"	2008	"BEHANCE"	1
"1000"	"cuba"	2009	"BEHANCE"	3
"1001"	"cuba"	2011	"BEHANCE"	1
"1002"	"cuba"	2012	"ART_EDUCATION"	1
"1003"	"cuba"	2012	"BEHANCE"	10
"1004"	"cuba"	2012	"EFLUX"	1
"1005"	"cuba"	2013	"ART_EDUCATION"	1
"1006"	"cuba"	2013	"BEHANCE"	53
"1007"	"cuba"	2013	"MEETUP"	1
"1008"	"cuba"	2014	"ART_EDUCATION"	2
"1009"	"cuba"	2014	"BEHANCE"	27
"1010"	"cuba"	2014	"MEETUP"	2
"1011"	"cuba"	2014	"TED"	1
"1012"	"cuba"	2015	"BEHANCE"	1
"1013"	"cuba"	2015	"EFLUX"	3
"1014"	"cuba"	2015	"MEETUP"	15
"1015"	"cuba"	2015	"TED"	1
"1016"	"cuba"	2016	"ART_EDUCATION"	1
"1017"	"cuba"	2016	"BEHANCE"	4
"1018"	"cuba"	2016	"EFLUX"	1
"1019"	"cuba"	2016	"MEETUP"	10
"1020"	"cuba"	2017	"MEETUP"	10
"1021"	"cuba"	2018	"EFLUX"	2
"1022"	"cuba"	2018	"MEETUP"	11
"1023"	"cuba"	2019	"MEETUP"	2
"1024"	"cyprus"	2008	"BEHANCE"	5
"1025"	"cyprus"	2009	"BEHANCE"	22
"1026"	"cyprus"	2010	"BEHANCE"	44
"1027"	"cyprus"	2011	"BEHANCE"	67
"1028"	"cyprus"	2011	"TED"	1
"1029"	"cyprus"	2012	"BEHANCE"	85
"1030"	"cyprus"	2012	"MEETUP"	2
"1031"	"cyprus"	2012	"TED"	1
"1032"	"cyprus"	2013	"BEHANCE"	125
"1033"	"cyprus"	2013	"EFLUX"	1
"1034"	"cyprus"	2013	"MEETUP"	3
"1035"	"cyprus"	2013	"TED"	3
"1036"	"cyprus"	2013	"TIMEPAD"	2
"1037"	"cyprus"	2014	"BEHANCE"	81
"1038"	"cyprus"	2014	"TED"	3
"1039"	"cyprus"	2014	"TIMEPAD"	1
"1040"	"cyprus"	2015	"BEHANCE"	144
"1041"	"cyprus"	2015	"EFLUX"	1
"1042"	"cyprus"	2015	"MEETUP"	24
"1043"	"cyprus"	2015	"TED"	4
"1044"	"cyprus"	2015	"TIMEPAD"	3
"1045"	"cyprus"	2016	"BEHANCE"	110
"1046"	"cyprus"	2016	"EFLUX"	1
"1047"	"cyprus"	2016	"MEETUP"	20
"1048"	"cyprus"	2016	"TED"	8
"1049"	"cyprus"	2016	"TIMEPAD"	5
"1050"	"cyprus"	2017	"BEHANCE"	94
"1051"	"cyprus"	2017	"MEETUP"	28
"1052"	"cyprus"	2017	"TED"	7
"1053"	"cyprus"	2017	"TIMEPAD"	15
"1054"	"cyprus"	2018	"BEHANCE"	94
"1055"	"cyprus"	2018	"MEETUP"	104
"1056"	"cyprus"	2018	"TED"	3
"1057"	"cyprus"	2018	"TIMEPAD"	8
"1058"	"cyprus"	2019	"BEHANCE"	15
"1059"	"cyprus"	2019	"MEETUP"	18
"1060"	"cyprus"	2019	"TED"	4
"1061"	"cyprus"	2019	"TIMEPAD"	5
"1062"	"democratic republic of the congo"	2013	"TED"	1
"1063"	"democratic republic of the congo"	2017	"TED"	1
"1064"	"democratic republic of the congo"	2018	"TED"	2
"1065"	"denmark"	2004	"MEETUP"	10
"1066"	"denmark"	2005	"MEETUP"	21
"1067"	"denmark"	2006	"MEETUP"	44
"1068"	"denmark"	2007	"BEHANCE"	1
"1069"	"denmark"	2007	"MEETUP"	151
"1070"	"denmark"	2008	"BEHANCE"	49
"1071"	"denmark"	2008	"MEETUP"	161
"1072"	"denmark"	2009	"BEHANCE"	154
"1073"	"denmark"	2009	"MEETUP"	244
"1074"	"denmark"	2009	"TED"	2
"1075"	"denmark"	2010	"ART_EDUCATION"	1
"1076"	"denmark"	2010	"BEHANCE"	327
"1077"	"denmark"	2010	"EFLUX"	6
"1078"	"denmark"	2010	"MEETUP"	238
"1079"	"denmark"	2010	"TED"	1
"1080"	"denmark"	2010	"THEORY_PRACTICE"	634
"1081"	"denmark"	2011	"ART_EDUCATION"	1
"1082"	"denmark"	2011	"BEHANCE"	654
"1083"	"denmark"	2011	"EFLUX"	4
"1084"	"denmark"	2011	"MEETUP"	292
"1085"	"denmark"	2011	"THEORY_PRACTICE"	567
"1086"	"denmark"	2012	"BEHANCE"	1067
"1087"	"denmark"	2012	"EFLUX"	5
"1088"	"denmark"	2012	"MEETUP"	357
"1089"	"denmark"	2012	"TED"	3
"1090"	"denmark"	2012	"THEORY_PRACTICE"	74
"1091"	"denmark"	2013	"BEHANCE"	1483
"1092"	"denmark"	2013	"EFLUX"	5
"1093"	"denmark"	2013	"MEETUP"	423
"1094"	"denmark"	2013	"TED"	4
"1095"	"denmark"	2014	"ART_EDUCATION"	1
"1096"	"denmark"	2014	"BEHANCE"	1160
"1097"	"denmark"	2014	"EFLUX"	9
"1098"	"denmark"	2014	"MEETUP"	512
"1099"	"denmark"	2014	"TED"	8
"1100"	"denmark"	2015	"BEHANCE"	968
"1101"	"denmark"	2015	"EFLUX"	7
"1102"	"denmark"	2015	"MEETUP"	746
"1103"	"denmark"	2015	"TED"	5
"1104"	"denmark"	2016	"ART_EDUCATION"	1
"1105"	"denmark"	2016	"BEHANCE"	911
"1106"	"denmark"	2016	"EFLUX"	2
"1107"	"denmark"	2016	"MEETUP"	796
"1108"	"denmark"	2016	"TED"	7
"1109"	"denmark"	2016	"THEORY_PRACTICE"	18
"1110"	"denmark"	2017	"ART_EDUCATION"	1
"1111"	"denmark"	2017	"BEHANCE"	862
"1112"	"denmark"	2017	"EFLUX"	11
"1113"	"denmark"	2017	"MEETUP"	1120
"1114"	"denmark"	2017	"TED"	7
"1115"	"denmark"	2018	"ART_EDUCATION"	2
"1116"	"denmark"	2018	"BEHANCE"	751
"1117"	"denmark"	2018	"EFLUX"	9
"1118"	"denmark"	2018	"MEETUP"	1735
"1119"	"denmark"	2018	"TED"	5
"1120"	"denmark"	2019	"BEHANCE"	119
"1121"	"denmark"	2019	"MEETUP"	180
"1122"	"denmark"	2019	"TED"	3
"1123"	"dominican republic"	2009	"BEHANCE"	22
"1124"	"dominican republic"	2009	"TED"	1
"1125"	"dominican republic"	2010	"BEHANCE"	17
"1126"	"dominican republic"	2010	"TED"	2
"1127"	"dominican republic"	2011	"BEHANCE"	15
"1128"	"dominican republic"	2011	"MEETUP"	1
"1129"	"dominican republic"	2011	"TED"	3
"1130"	"dominican republic"	2012	"BEHANCE"	76
"1131"	"dominican republic"	2012	"TED"	7
"1132"	"dominican republic"	2013	"BEHANCE"	142
"1133"	"dominican republic"	2013	"TED"	3
"1134"	"dominican republic"	2014	"BEHANCE"	58
"1135"	"dominican republic"	2014	"MEETUP"	1
"1136"	"dominican republic"	2014	"TED"	2
"1137"	"dominican republic"	2015	"BEHANCE"	75
"1138"	"dominican republic"	2015	"MEETUP"	3
"1139"	"dominican republic"	2015	"TED"	1
"1140"	"dominican republic"	2016	"BEHANCE"	73
"1141"	"dominican republic"	2016	"MEETUP"	9
"1142"	"dominican republic"	2016	"TED"	1
"1143"	"dominican republic"	2017	"BEHANCE"	64
"1144"	"dominican republic"	2017	"MEETUP"	11
"1145"	"dominican republic"	2017	"TED"	4
"1146"	"dominican republic"	2018	"BEHANCE"	63
"1147"	"dominican republic"	2018	"MEETUP"	2
"1148"	"dominican republic"	2018	"TED"	3
"1149"	"dominican republic"	2019	"BEHANCE"	15
"1150"	"ecuador"	2007	"MEETUP"	1
"1151"	"ecuador"	2009	"BEHANCE"	4
"1152"	"ecuador"	2010	"BEHANCE"	40
"1153"	"ecuador"	2010	"TED"	1
"1154"	"ecuador"	2011	"BEHANCE"	74
"1155"	"ecuador"	2011	"TED"	2
"1156"	"ecuador"	2012	"BEHANCE"	165
"1157"	"ecuador"	2012	"MEETUP"	1
"1158"	"ecuador"	2012	"TED"	5
"1159"	"ecuador"	2013	"BEHANCE"	378
"1160"	"ecuador"	2013	"TED"	2
"1161"	"ecuador"	2014	"BEHANCE"	477
"1162"	"ecuador"	2014	"MEETUP"	10
"1163"	"ecuador"	2014	"TED"	4
"1164"	"ecuador"	2015	"BEHANCE"	442
"1165"	"ecuador"	2015	"EFLUX"	1
"1166"	"ecuador"	2015	"MEETUP"	12
"1167"	"ecuador"	2015	"TED"	7
"1168"	"ecuador"	2016	"ART_EDUCATION"	1
"1169"	"ecuador"	2016	"BEHANCE"	574
"1170"	"ecuador"	2016	"MEETUP"	6
"1171"	"ecuador"	2016	"TED"	8
"1172"	"ecuador"	2017	"BEHANCE"	325
"1173"	"ecuador"	2017	"EFLUX"	1
"1174"	"ecuador"	2017	"MEETUP"	16
"1175"	"ecuador"	2017	"TED"	8
"1176"	"ecuador"	2018	"BEHANCE"	308
"1177"	"ecuador"	2018	"MEETUP"	59
"1178"	"ecuador"	2018	"TED"	8
"1179"	"ecuador"	2019	"BEHANCE"	45
"1180"	"ecuador"	2019	"MEETUP"	6
"1181"	"ecuador"	2019	"TED"	5
"1182"	"egypt"	2008	"BEHANCE"	4
"1183"	"egypt"	2009	"BEHANCE"	23
"1184"	"egypt"	2009	"MEETUP"	1
"1185"	"egypt"	2010	"BEHANCE"	76
"1186"	"egypt"	2010	"MEETUP"	8
"1187"	"egypt"	2010	"TED"	4
"1188"	"egypt"	2011	"BEHANCE"	179
"1189"	"egypt"	2011	"MEETUP"	6
"1190"	"egypt"	2011	"TED"	10
"1191"	"egypt"	2012	"ART_EDUCATION"	6
"1192"	"egypt"	2012	"BEHANCE"	440
